"URL","statut avant","statut après","robots","canonical","redirections","résultat","remarque"
"https://tracky.vizyoagency.com/","200","200 local","index,follow","https://tracky.vizyoagency.com/","0","OK local","Production non déployée"
"https://tracky.vizyoagency.com/index.html","200","301 local puis 200","hérité de la destination","https://tracky.vizyoagency.com/","1 directe","OK local","Requête explicite redirigée sans capturer la home interne"
"https://tracky.vizyoagency.com/vizyo-tracky.html","301 HTTP puis 308 HTTPS puis 200","301 local puis 200","hérité de la destination","https://tracky.vizyoagency.com/","1 directe","OK local","Destination HTTPS absolue"
"https://tracky.vizyoagency.com/fiabilite-gps.html","301 HTTP puis 308 HTTPS puis 200","301 local puis 200","hérité de la destination","https://tracky.vizyoagency.com/securite.html","1 directe","OK local","Destination HTTPS absolue"
"https://tracky.vizyoagency.com/robots.txt","200 text/plain","200 text/plain local","Allow: /","sans objet","0","OK local","Référence sitemap conservée"
"https://tracky.vizyoagency.com/sitemap.xml","200 text/xml","200 text/xml local","sans objet","sans objet","0","OK local","20 URLs en 200, canoniques et indexables"
"https://app-tracky.vizyoagency.com/","200 HTML","200 HTML local","avant index,follow ; après noindex,follow + X-Robots-Tag","https://app-tracky.vizyoagency.com/","0","OK local","Production expose encore index,follow"
"https://app-tracky.vizyoagency.com/login","200 HTML","200 HTML local","avant index,follow ; après noindex,follow + X-Robots-Tag","https://app-tracky.vizyoagency.com/","0","OK local","Fallback SPA couvert"
"https://app-tracky.vizyoagency.com/admin","200 HTML","200 HTML local","avant index,follow ; après noindex,follow + X-Robots-Tag","https://app-tracky.vizyoagency.com/","0","OK local","Toutes les routes admin et applicatives partagent la protection"
"https://app-tracky.vizyoagency.com/robots.txt","200 text/html, shell SPA","200 text/plain local","User-agent: * ; Allow: /","sans objet","0","OK local","Le crawl reste autorisé pour lire le noindex"
"https://app-tracky.vizyoagency.com/sitemap.xml","200 text/html, shell SPA","404 local","sans objet","sans objet","0","OK local","Aucun sitemap applicatif inutile"
